episode,reward,steps,epsilon,collision,success
260,186.17,26,0.0496,0,1
261,192.9,95,0.0496,0,1
262,10.86,300,0.0496,0,0
263,190.14,34,0.0496,0,1
264,180.83,37,0.0496,0,1
265,-22.79,300,0.0496,0,0
266,172.65,19,0.0496,0,1
267,20.04,300,0.0496,0,0
268,-3.25,300,0.0496,0,0
269,193.0,46,0.0496,0,1
270,173.35,272,0.0496,0,1
271,205.4,41,0.0496,0,1
272,204.45,53,0.0496,0,1
273,-156.2,185,0.0496,1,0
274,6.02,300,0.0496,0,0
275,15.86,300,0.0496,0,0
276,192.11,62,0.0496,0,1
277,181.79,40,0.0496,0,1
278,166.23,69,0.0496,0,1
279,199.45,44,0.0496,0,1
280,-127.3,30,0.0496,1,0
281,-70.66,69,0.0496,1,0
282,205.53,46,0.0496,0,1
283,191.23,41,0.0496,0,1
284,188.09,39,0.0496,0,1
285,-10.31,300,0.0496,0,0
286,-51.74,25,0.0496,1,0
287,20.01,300,0.0496,0,0
288,178.53,29,0.0496,0,1
289,-75.59,264,0.0496,1,0
290,-145.45,126,0.0496,1,0
291,18.37,300,0.0496,0,0
292,194.77,74,0.0496,0,1
293,183.18,29,0.0496,0,1
294,195.45,38,0.0496,0,1
295,170.12,74,0.0496,0,1
296,25.35,300,0.0496,0,0
297,190.46,37,0.0496,0,1
298,-136.5,90,0.0496,1,0
299,-24.06,300,0.0496,0,0
300,23.55,300,0.0496,0,0
